sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00025,miura,1,1,bending,0.6,3350.98297250695,3372.1798654727354,0.00632557465665892,0.001960821311641427,0.0088963226152809
miura_00025,miura,1,2,bending,0.9,3013.49683339492,3017.129287702911,0.0012053950970635876,0.0004183623544593024,0.0099432265373157
miura_00025,miura,1,3,axial,0.3,34490.0249440494,34705.30999122741,0.00624195104315674,0.0019981668361398774,0.000864421035501
miura_00025,miura,1,4,axial,0.6,56110.6798001442,56445.09946676923,0.005960000267616946,0.0019070143214305734,0.0005314898951974
miura_00025,miura,1,5,axial,0.9,282367.852071375,283595.45375494077,0.004347526372284972,0.0013913937284788737,0.0001057844884422
miura_00026,miura,1,0,bending,0.3,202129.511900792,202155.39407981132,0.00012804750170294647,4.116962939657555e-05,0.000148400690155
miura_00026,miura,1,1,bending,0.6,73937.6682367225,73955.38246706908,0.00023958329724256352,7.806619291559665e-05,0.0004056499878607
miura_00026,miura,1,2,bending,0.9,29478.1490153863,29497.928876185706,0.0006710007737962223,0.00021449944273082465,0.0010170205551014
miura_00026,miura,1,3,axial,0.3,63838.6984552913,64022.11172086675,0.002873073386731129,0.0009204345715621209,0.0004685881048535
miura_00026,miura,1,4,axial,0.6,101100.353400143,101336.22722022931,0.0023330662273034325,0.0007469937662708889,0.0002960441771214
miura_00026,miura,1,5,axial,0.9,416933.196894057,417737.7951848266,0.0019298014568364177,0.0006180643734112092,7.18153835870336e-05
tmp_00001,tmp,2,0,bending,0.3,106376.983768189,106219.76393117839,0.0014779497541801412,0.0004733423941420781,0.0002824333145707
tmp_00001,tmp,2,1,bending,0.6,11203.3706816554,11172.064238125291,0.0027943771941216873,0.0009036567782176707,0.0026852692000842
tmp_00001,tmp,2,2,bending,0.9,1113.74556827394,1131.2421476290015,0.01570967360361956,0.0048806854266694516,0.0265195210971212
