sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_00393,miura,393,1,30,12,0.0006222555389585,0.0051411304053462,0.0023549375622798,1178793110.55712,2767780534.0726,243575.270466532,64332.1916439319,20679.570357534,11257.6763684984,24610.039908733,354036.295216688
miura_00795,miura,795,1,24,12,0.0008235921632172,0.0043160772715146,0.0028318212706154,3671950892.6685,4024952198.51927,170832.66560872,49986.6573654644,22820.6426195732,40135.7508001159,70933.9820023589,593316.170070673
miura_00871,miura,871,1,30,9,0.0009225391960998,0.0027782151573297,0.0026463278826684,4054262012.43711,4637732558.62694,106040.442667647,33042.1851824516,16649.3151054699,72001.2647175472,114883.394123159,539710.084921233
miura_00398,miura,398,1,36,12,0.0009433475858178,0.0045848349148516,0.003546102898414,3116249026.97022,3407139267.88209,171764.502436343,47669.966592377,17333.5445076047,57155.5863621287,94620.3110035356,555648.391369458
miura_00767,miura,767,1,30,9,0.0009863158920994,0.0040464115794191,0.0023498091895713,4145938243.56584,1962932476.385,132720.710951582,39319.3608562109,14229.0826234122,97071.144031054,149568.462143244,546036.27334702
miura_01842,miura,1842,1,30,12,0.0006764677228486,0.0033234140522183,0.0012226917066224,2079272186.87627,2822558941.41245,134643.048434412,36559.1812025254,12750.2800382689,34698.914962112,59075.3973893415,387472.155766113
miura_01242,miura,1242,1,24,12,0.0009468411210421,0.0037532912569217,0.0025645758301949,3460658357.07773,3195858975.5057,100431.146563457,30025.3437166108,14836.3960445354,58202.6234700411,98036.9406718487,617417.078126921
miura_01029,miura,1029,1,30,6,0.0006969118557888,0.0050237086175148,0.0013999623397591,4828225018.31634,1186385691.87961,174003.733819048,73813.0871440382,21001.7869018502,64394.6666745958,98244.0686126333,312092.174677316
miura_01793,miura,1793,1,24,9,0.0007935137841209,0.0029167978361865,0.0031301615157207,4009492910.49371,1965246580.27544,38831.6493767873,12530.9804272582,7784.785409466,30668.827055109,50151.3116317979,262998.089552855
miura_00643,miura,643,1,24,9,0.0009550181487318,0.0049711143161141,0.0039101466145015,1439425085.01409,2412326127.56602,168418.874168072,50774.3942038794,22238.5720805715,18558.0306176542,34375.5296710918,324326.313587603
miura_01892,miura,1892,1,36,6,0.0009595875758219,0.0026088772639636,0.0017962901294461,1820139019.20453,1310140478.09606,50160.280343369,19653.4755195043,7335.52327697116,56218.4535692513,80529.1953682226,190027.531390247
miura_00613,miura,613,1,24,12,0.0005468372999864,0.0042011177386185,0.0014121287635929,3266145881.06402,2943478845.73679,212958.502759219,57460.2105576381,20129.1683566902,22785.0208212125,42956.0255143077,438869.788622506
miura_01763,miura,1763,1,24,12,0.0006874559447016,0.0020027095818434,0.0038558929817672,2017594567.00753,3871421603.02097,13768.2120626943,5035.27957565162,5235.05669419395,9327.05012259831,16129.2444616317,137868.733515986
